timestamp,temperature,humidity,light,pH,electrical_conductivity
2025-03-03 00:00:00,21.48,54.2,519.15,7.16,0.688
2025-03-03 00:00:05,23.35,53.04,366.81,7.02,1.482
2025-03-03 00:00:10,20.76,49.72,487.75,7.99,1.151
2025-03-03 00:00:15,22.19,55.68,179.11,6.13,0.693
2025-03-03 00:00:20,20.41,48.11,625.85,7.81,1.608
2025-03-03 00:00:25,20.66,40.75,356.8,7.36,1.6
2025-03-03 00:00:30,24.61,45.07,117.6,7.31,0.698
2025-03-03 00:00:35,20.6,47.79,304.73,6.74,0.527
2025-03-03 00:00:40,20.03,54.83,566.17,7.04,0.779
2025-03-03 00:00:45,24.27,48.45,783.62,6.11,1.844
2025-03-03 00:00:50,22.7,43.29,883.05,7.05,1.883
2025-03-03 00:00:55,22.42,54.51,799.98,6.61,1.487
2025-03-03 00:01:00,24.98,59.81,333.99,6.18,0.99
2025-03-03 00:01:05,22.09,43.35,873.9,7.47,0.788
2025-03-03 00:01:10,24.18,46.71,494.81,7.32,0.841
2025-03-03 00:01:15,22.81,57.93,399.37,7.81,1.871
2025-03-03 00:01:20,24.81,51.69,416.16,6.33,1.465
2025-03-03 00:01:25,21.3,54.3,825.1,7.17,1.084
2025-03-03 00:01:30,22.18,46.33,381.12,7.67,1.748
2025-03-03 00:01:35,22.94,54.71,927.17,6.39,1.854
2025-03-03 00:01:40,24.76,48.36,604.88,7.84,0.874
2025-03-03 00:01:45,20.49,59.03,210.65,7.75,1.15
2025-03-03 00:01:50,23.7,45.79,503.42,7.56,0.624
2025-03-03 00:01:55,22.12,41.94,952.31,7.8,0.603
2025-03-03 00:02:00,21.4,57.0,392.21,7.53,1.361
2025-03-03 00:02:05,24.41,56.58,112.29,6.04,0.577
2025-03-03 00:02:10,23.13,44.8,408.86,7.09,1.666
2025-03-03 00:02:15,24.39,50.1,912.63,6.72,1.38
2025-03-03 00:02:20,22.23,46.55,948.94,7.33,0.921
2025-03-03 00:02:25,20.88,55.03,734.61,6.96,0.655
2025-03-03 00:02:30,24.06,45.15,699.38,7.65,1.721
2025-03-03 00:02:35,24.25,53.2,508.12,6.5,1.104
