timestamp,temperature,humidity,light,pH,electrical_conductivity
2025-03-01 00:00:00,24.69,52.66,118.65,6.68,0.996
2025-03-01 00:00:05,21.89,50.18,801.71,7.29,1.044
2025-03-01 00:00:10,23.88,48.01,682.39,7.66,1.354
2025-03-01 00:00:15,20.42,56.73,146.05,7.77,0.519
2025-03-01 00:00:20,20.79,41.54,106.87,7.77,1.9
2025-03-01 00:00:25,21.45,43.18,740.09,7.45,1.196
2025-03-01 00:00:30,22.5,56.93,292.49,6.04,0.577
2025-03-01 00:00:35,24.1,48.17,696.89,7.04,0.808
2025-03-01 00:00:40,21.44,54.14,340.67,7.42,1.964
2025-03-01 00:00:45,20.67,53.88,709.49,7.43,1.023
2025-03-01 00:00:50,22.7,49.45,338.96,6.16,1.854
2025-03-01 00:00:55,20.22,53.09,730.96,6.45,1.175
2025-03-01 00:01:00,24.35,40.41,246.87,7.67,0.627
2025-03-01 00:01:05,21.29,46.49,122.71,6.66,1.919
2025-03-01 00:01:10,24.45,41.97,646.59,6.34,1.579
2025-03-01 00:01:15,22.93,41.98,760.73,6.19,0.845
2025-03-01 00:01:20,21.81,47.82,254.58,6.79,1.299
2025-03-01 00:01:25,23.28,45.68,971.64,7.72,0.791
2025-03-01 00:01:30,24.73,55.93,117.84,6.61,1.86
2025-03-01 00:01:35,22.16,41.08,300.38,7.39,0.567
2025-03-01 00:01:40,24.0,50.25,985.94,7.96,1.387
2025-03-01 00:01:45,20.15,59.74,458.8,6.03,0.509
2025-03-01 00:01:50,20.42,45.98,718.58,7.19,1.698
2025-03-01 00:01:55,20.76,41.61,975.39,6.69,1.011
2025-03-01 00:02:00,23.54,49.28,929.69,6.95,0.887
2025-03-01 00:02:05,22.36,40.15,900.05,7.51,0.935
2025-03-01 00:02:10,21.37,48.09,321.69,6.7,0.54
2025-03-01 00:02:15,24.53,48.68,886.69,6.3,1.634
2025-03-01 00:02:20,24.38,46.23,865.74,7.18,0.519
2025-03-01 00:02:25,20.81,52.33,514.5,6.34,0.787
2025-03-01 00:02:30,20.47,42.39,591.46,6.97,1.888
2025-03-01 00:02:35,21.3,48.86,926.09,7.82,1.653
2025-03-01 00:02:40,23.74,46.87,433.15,6.74,0.675
2025-03-01 00:02:45,22.42,49.74,609.59,6.26,1.86
2025-03-01 00:02:50,20.41,51.72,727.22,7.97,1.373
2025-03-01 00:02:55,20.95,54.92,289.18,6.5,0.947
2025-03-01 00:03:00,23.12,54.6,536.65,7.06,1.836
2025-03-01 00:03:05,23.99,41.03,333.69,6.44,1.764
2025-03-01 00:03:10,23.78,49.98,647.7,6.74,1.065
2025-03-01 00:03:15,21.8,53.95,137.86,6.18,1.03
2025-03-01 00:03:20,21.59,55.9,334.7,6.99,0.614
2025-03-01 00:03:25,23.04,46.51,221.5,7.28,1.397
2025-03-01 00:03:30,20.32,49.27,204.35,7.7,0.535
2025-03-01 00:03:35,23.39,59.97,846.42,6.84,0.854
2025-03-01 00:03:40,22.19,45.03,197.08,6.8,0.942
2025-03-01 00:03:45,21.51,55.62,913.71,6.32,1.161
2025-03-01 00:03:50,24.39,59.98,842.83,6.44,1.935
2025-03-01 00:03:55,22.86,51.93,878.97,6.87,0.759
2025-03-01 00:04:00,21.4,43.72,827.58,7.65,1.021
2025-03-01 00:04:05,21.15,54.22,224.29,6.26,1.372
2025-03-01 00:04:10,22.58,49.66,361.0,6.76,1.267
2025-03-01 00:04:15,23.69,41.05,422.37,7.32,0.97
2025-03-01 00:04:20,21.17,45.24,207.75,6.09,1.247
2025-03-01 00:04:25,21.56,44.96,654.27,6.07,1.615
2025-03-01 00:04:30,23.48,56.58,558.93,7.79,0.919
2025-03-01 00:04:35,20.74,49.55,161.31,6.43,1.165
2025-03-01 00:04:40,23.68,47.09,603.51,7.55,1.411
2025-03-01 00:04:45,21.36,44.56,993.51,7.83,0.849
2025-03-01 00:04:50,22.97,48.62,268.5,6.02,0.509
2025-03-01 00:04:55,21.81,50.86,608.67,6.39,0.923
2025-03-01 00:05:00,23.81,54.72,492.53,6.63,1.965
2025-03-01 00:05:05,23.59,41.49,645.7,6.93,0.714
2025-03-01 00:05:10,22.94,41.36,889.83,7.09,1.067
2025-03-01 00:05:15,24.01,48.92,489.63,6.87,1.389
2025-03-01 00:05:20,22.43,49.22,791.92,6.36,1.045
2025-03-01 00:05:25,22.9,41.74,584.81,6.92,0.57
2025-03-01 00:05:30,23.69,53.69,858.45,7.99,0.88
2025-03-01 00:05:35,22.01,41.06,107.29,7.08,1.47
2025-03-01 00:05:40,20.73,41.27,951.09,7.02,1.884
2025-03-01 00:05:45,21.99,42.84,923.19,6.49,1.004
2025-03-01 00:05:50,23.95,56.97,665.29,7.43,1.994
2025-03-01 00:05:55,23.28,56.33,191.87,7.22,0.906
2025-03-01 00:06:00,22.02,43.43,920.5,6.57,0.769
2025-03-01 00:06:05,21.9,48.26,150.43,6.45,1.093
2025-03-01 00:06:10,22.19,59.91,958.78,7.94,1.124
2025-03-01 00:06:15,20.58,53.84,721.73,6.94,0.672
2025-03-01 00:06:20,20.16,48.9,845.79,6.43,1.336
2025-03-01 00:06:25,23.2,52.25,314.23,7.23,1.412
2025-03-01 00:06:30,21.95,48.8,472.45,6.22,1.906
2025-03-01 00:06:35,21.3,42.88,581.09,7.6,0.568
2025-03-01 00:06:40,23.71,56.33,537.41,7.63,1.242
2025-03-01 00:06:45,21.68,57.08,697.71,6.56,1.543
2025-03-01 00:06:50,21.18,56.19,596.5,6.97,0.542
2025-03-01 00:06:55,24.87,44.1,897.12,7.07,0.881
2025-03-01 00:07:00,22.72,42.23,958.48,6.05,0.929
2025-03-01 00:07:05,23.02,51.81,487.88,6.81,1.868
2025-03-01 00:07:10,20.94,57.36,722.77,7.35,1.023
2025-03-01 00:07:15,21.26,49.8,462.32,6.03,1.509
2025-03-01 00:07:20,24.03,43.68,468.64,7.05,1.234
2025-03-01 00:07:25,22.46,57.76,362.24,7.19,1.977
2025-03-01 00:07:30,21.89,59.22,122.3,6.36,1.04
2025-03-01 00:07:35,21.29,55.95,779.35,6.38,0.634
2025-03-01 00:07:40,20.64,44.27,189.53,6.72,1.757
2025-03-01 00:07:45,24.04,46.01,839.14,6.25,1.011
2025-03-01 00:07:50,22.05,44.38,580.63,6.32,1.477
2025-03-01 00:07:55,20.95,41.15,307.56,7.07,1.307
2025-03-01 00:08:00,23.22,42.36,498.33,6.07,1.813
2025-03-01 00:08:05,20.76,50.14,717.15,6.31,1.438
2025-03-01 00:08:10,21.07,47.27,804.34,7.59,0.832
2025-03-01 00:08:15,22.68,43.87,250.79,6.07,1.3
2025-03-01 00:08:20,23.32,49.79,965.52,7.67,1.628
2025-03-01 00:08:25,22.3,47.38,563.41,7.67,1.147
2025-03-01 00:08:30,23.73,55.5,501.26,7.58,1.085
2025-03-01 00:08:35,22.67,48.96,255.39,7.25,1.361
2025-03-01 00:08:40,21.35,43.03,504.13,7.3,1.235
2025-03-01 00:08:45,24.81,54.87,201.8,6.33,1.896
2025-03-01 00:08:50,20.95,57.44,415.96,7.46,0.605
2025-03-01 00:08:55,24.06,59.58,943.59,6.94,0.622
2025-03-01 00:09:00,20.55,43.26,239.85,7.72,1.405
2025-03-01 00:09:05,22.95,50.21,713.59,6.93,1.098
2025-03-01 00:09:10,22.77,49.66,859.16,7.48,1.07
2025-03-01 00:09:15,23.65,43.85,708.67,6.75,1.76
2025-03-01 00:09:20,24.65,45.61,916.4,6.71,0.853
2025-03-01 00:09:25,22.61,49.59,503.93,6.84,1.081
2025-03-01 00:09:30,23.26,44.17,151.59,7.09,0.638
2025-03-01 00:09:35,21.9,56.35,507.02,6.41,1.539
2025-03-01 00:09:40,20.16,42.47,973.06,6.6,0.703
2025-03-01 00:09:45,20.73,53.71,423.05,7.95,1.598
2025-03-01 00:09:50,20.45,41.87,517.03,6.4,0.779
2025-03-01 00:09:55,24.01,52.0,725.61,6.97,0.988
2025-03-01 00:10:00,24.65,54.74,968.95,7.13,1.168
2025-03-01 00:10:05,22.47,40.82,248.36,6.76,1.536
2025-03-01 00:10:10,24.75,59.63,781.49,6.19,1.596
2025-03-01 00:10:15,23.07,48.03,520.15,7.5,1.685
2025-03-01 00:10:20,22.87,47.18,921.98,7.3,1.252
2025-03-01 00:10:25,21.76,40.67,644.82,7.53,0.701
2025-03-01 00:10:30,24.67,55.93,911.21,7.95,1.234
2025-03-01 00:10:35,22.44,45.27,866.5,6.09,1.934
2025-03-01 00:10:40,20.16,55.51,893.71,7.32,1.4
2025-03-01 00:10:45,20.42,50.92,111.07,7.89,1.348
