timestamp,temperature,humidity,light,pH,electrical_conductivity
2025-03-06 00:00:00,22.21,40.0,814.79,6.17,0.958
2025-03-06 00:00:05,23.88,57.04,430.4,7.65,1.827
2025-03-06 00:00:10,22.29,48.37,971.56,6.66,1.233
2025-03-06 00:00:15,24.07,58.21,711.21,7.04,1.481
2025-03-06 00:00:20,20.83,51.81,244.81,7.74,1.369
2025-03-06 00:00:25,20.28,43.65,215.25,6.26,0.824
2025-03-06 00:00:30,23.33,57.47,265.81,7.25,1.964
2025-03-06 00:00:35,22.79,43.44,766.91,7.64,1.724
2025-03-06 00:00:40,23.12,54.74,677.99,6.43,1.396
2025-03-06 00:00:45,23.32,44.46,440.15,7.95,1.609
2025-03-06 00:00:50,21.29,52.72,850.04,7.07,1.363
2025-03-06 00:00:55,24.41,46.12,647.38,7.88,1.764
2025-03-06 00:01:00,23.39,45.1,137.34,6.69,1.89
2025-03-06 00:01:05,22.65,43.51,548.85,7.75,0.588
2025-03-06 00:01:10,20.01,47.29,998.7,6.99,0.829
2025-03-06 00:01:15,23.58,45.1,139.99,7.83,0.963
2025-03-06 00:01:20,24.32,52.56,156.01,7.69,0.534
2025-03-06 00:01:25,23.0,40.66,280.28,6.56,1.78
2025-03-06 00:01:30,20.16,45.53,921.98,6.25,1.087
2025-03-06 00:01:35,23.16,53.66,672.65,6.65,1.17
2025-03-06 00:01:40,20.74,59.39,284.0,7.81,0.523
2025-03-06 00:01:45,20.77,45.36,758.64,7.08,0.824
2025-03-06 00:01:50,22.76,54.2,823.79,7.0,0.526
2025-03-06 00:01:55,23.04,51.78,768.16,6.25,1.485
2025-03-06 00:02:00,20.43,56.03,751.06,6.07,0.827
2025-03-06 00:02:05,20.39,53.59,376.25,6.61,0.668
2025-03-06 00:02:10,24.05,47.02,604.14,7.8,0.775
2025-03-06 00:02:15,23.62,57.88,405.78,7.29,1.667
2025-03-06 00:02:20,20.02,56.41,224.81,6.66,1.164
2025-03-06 00:02:25,23.7,51.52,628.79,6.93,1.004
2025-03-06 00:02:30,24.54,56.35,500.24,7.03,1.094
2025-03-06 00:02:35,21.23,54.15,354.32,6.65,1.864
2025-03-06 00:02:40,21.27,44.21,745.59,6.66,0.744
2025-03-06 00:02:45,21.21,47.85,468.8,6.97,0.576
2025-03-06 00:02:50,24.7,46.35,172.54,6.75,0.513
2025-03-06 00:02:55,22.6,48.15,985.72,7.9,1.988
2025-03-06 00:03:00,21.59,55.94,314.45,7.6,0.99
2025-03-06 00:03:05,23.9,59.92,993.63,6.83,1.621
2025-03-06 00:03:10,24.02,46.76,804.46,6.8,1.082
2025-03-06 00:03:15,23.12,59.37,367.65,7.92,0.632
2025-03-06 00:03:20,24.77,45.79,473.88,7.86,1.204
2025-03-06 00:03:25,21.93,58.65,364.18,6.94,1.014
2025-03-06 00:03:30,24.6,40.86,284.66,6.28,0.997
2025-03-06 00:03:35,20.85,47.47,367.98,7.22,1.074
2025-03-06 00:03:40,23.02,46.54,974.22,7.69,1.055
2025-03-06 00:03:45,21.77,52.03,936.65,7.06,1.044
2025-03-06 00:03:50,24.65,58.15,295.03,7.01,1.787
2025-03-06 00:03:55,22.1,54.24,635.04,6.92,1.099
2025-03-06 00:04:00,21.03,49.68,916.09,6.06,1.19
2025-03-06 00:04:05,23.49,59.3,830.67,6.69,0.866
2025-03-06 00:04:10,20.63,44.42,606.29,7.85,1.236
2025-03-06 00:04:15,23.25,41.09,851.56,7.77,1.037
2025-03-06 00:04:20,24.69,48.21,674.89,6.85,0.82
2025-03-06 00:04:25,23.32,51.57,866.73,7.69,1.453
2025-03-06 00:04:30,24.56,58.73,770.35,6.17,0.886
2025-03-06 00:04:35,24.41,44.14,729.13,7.55,1.358
2025-03-06 00:04:40,23.57,45.93,550.16,7.6,1.708
2025-03-06 00:04:45,21.43,42.25,565.55,7.18,1.585
2025-03-06 00:04:50,20.21,47.0,154.91,7.59,1.407
2025-03-06 00:04:55,24.26,44.97,207.21,6.75,1.044
2025-03-06 00:05:00,24.69,48.72,409.53,6.63,1.863
2025-03-06 00:05:05,20.25,42.42,483.58,7.73,0.943
2025-03-06 00:05:10,22.68,54.7,735.06,6.76,1.537
2025-03-06 00:05:15,20.37,43.88,287.02,7.94,0.513
2025-03-06 00:05:20,23.11,45.15,414.25,6.52,1.622
2025-03-06 00:05:25,22.03,48.49,460.69,7.74,1.928
2025-03-06 00:05:30,24.38,45.96,984.8,6.41,1.844
2025-03-06 00:05:35,21.85,59.84,178.61,6.73,1.13
2025-03-06 00:05:40,22.73,59.98,130.23,7.64,0.759
2025-03-06 00:05:45,22.55,56.47,838.4,7.25,1.594
2025-03-06 00:05:50,23.15,56.43,869.68,6.42,1.713
2025-03-06 00:05:55,22.51,50.37,624.05,7.26,1.948
2025-03-06 00:06:00,23.28,41.93,408.77,6.34,1.443
2025-03-06 00:06:05,20.71,55.37,867.04,7.23,1.05
2025-03-06 00:06:10,23.6,41.35,743.14,6.93,0.697
2025-03-06 00:06:15,20.67,47.17,382.09,6.73,1.141
2025-03-06 00:06:20,24.78,41.76,336.93,6.14,1.922
2025-03-06 00:06:25,21.29,46.61,758.59,7.71,1.675
2025-03-06 00:06:30,20.48,58.77,914.53,6.85,0.899
2025-03-06 00:06:35,24.37,56.99,115.98,7.95,1.871
2025-03-06 00:06:40,23.17,53.91,858.26,6.13,1.725
2025-03-06 00:06:45,20.01,56.41,147.57,6.54,0.507
2025-03-06 00:06:50,22.31,59.62,598.75,7.17,1.6
2025-03-06 00:06:55,22.37,55.06,326.81,6.81,1.263
2025-03-06 00:07:00,21.15,59.77,931.93,7.04,0.896
2025-03-06 00:07:05,21.01,41.41,120.84,7.06,1.966
2025-03-06 00:07:10,21.85,50.81,255.49,6.22,1.512
2025-03-06 00:07:15,22.3,43.58,123.09,6.07,1.01
2025-03-06 00:07:20,20.18,47.29,477.01,7.59,0.546
2025-03-06 00:07:25,21.72,55.77,811.61,7.88,0.738
2025-03-06 00:07:30,22.72,56.63,589.0,7.94,1.364
2025-03-06 00:07:35,24.24,56.34,464.9,6.37,0.549
2025-03-06 00:07:40,20.11,53.75,137.44,6.16,1.741
2025-03-06 00:07:45,22.19,55.89,429.76,7.48,1.201
2025-03-06 00:07:50,21.91,40.46,524.81,7.02,0.641
2025-03-06 00:07:55,24.1,57.33,904.89,6.85,1.388
2025-03-06 00:08:00,22.82,49.81,110.5,6.22,0.875
