timestamp,temperature,humidity,light,pH,electrical_conductivity
2025-03-02 00:00:00,23.33,48.5,209.27,6.63,1.839
2025-03-02 00:00:05,24.12,50.81,148.53,6.53,0.509
2025-03-02 00:00:10,23.56,46.41,523.69,6.18,1.786
2025-03-02 00:00:15,20.84,51.02,488.67,6.56,1.689
2025-03-02 00:00:20,20.08,55.67,588.76,7.76,0.508
2025-03-02 00:00:25,23.98,54.94,871.73,6.54,1.223
2025-03-02 00:00:30,22.87,48.25,856.77,7.37,0.813
2025-03-02 00:00:35,20.68,59.81,789.29,7.05,1.773
2025-03-02 00:00:40,24.66,42.15,602.68,7.52,0.639
2025-03-02 00:00:45,21.86,54.77,587.98,7.89,1.065
2025-03-02 00:00:50,24.37,59.87,807.0,6.98,1.037
2025-03-02 00:00:55,21.74,51.45,887.62,7.33,0.615
2025-03-02 00:01:00,23.11,58.27,484.07,7.78,1.086
2025-03-02 00:01:05,23.41,43.03,713.99,7.55,1.876
2025-03-02 00:01:10,21.07,46.57,698.59,7.42,1.545
2025-03-02 00:01:15,23.2,50.7,354.2,6.05,1.237
2025-03-02 00:01:20,21.2,51.49,592.96,6.97,1.341
2025-03-02 00:01:25,24.72,49.63,366.19,7.96,1.083
2025-03-02 00:01:30,23.08,49.5,393.76,6.02,1.835
2025-03-02 00:01:35,20.27,41.51,745.68,7.27,1.811
2025-03-02 00:01:40,22.09,53.55,795.28,6.13,1.19
2025-03-02 00:01:45,21.12,42.04,720.95,6.96,1.155
2025-03-02 00:01:50,20.46,44.48,294.94,7.06,1.278
2025-03-02 00:01:55,24.73,40.6,453.32,7.18,1.078
2025-03-02 00:02:00,20.51,45.13,577.27,6.04,1.322
2025-03-02 00:02:05,23.69,41.2,715.06,7.22,1.598
2025-03-02 00:02:10,21.98,42.13,989.78,6.85,1.283
2025-03-02 00:02:15,24.33,41.43,917.86,6.62,0.559
2025-03-02 00:02:20,20.01,41.23,229.98,7.1,1.102
2025-03-02 00:02:25,21.67,44.91,127.48,6.3,1.393
2025-03-02 00:02:30,24.41,47.89,798.96,7.02,1.985
2025-03-02 00:02:35,23.76,54.25,696.1,7.47,0.727
2025-03-02 00:02:40,21.25,45.68,314.48,7.34,1.741
2025-03-02 00:02:45,22.69,56.85,766.65,6.01,1.188
2025-03-02 00:02:50,20.32,48.47,255.96,6.83,1.99
2025-03-02 00:02:55,24.73,56.71,317.8,6.57,1.833
2025-03-02 00:03:00,23.26,50.86,362.39,7.76,0.649
2025-03-02 00:03:05,20.19,44.9,852.5,7.61,1.33
2025-03-02 00:03:10,21.75,42.33,352.33,7.21,0.544
2025-03-02 00:03:15,22.58,50.21,371.62,7.53,0.902
2025-03-02 00:03:20,22.99,43.47,700.06,6.67,0.649
2025-03-02 00:03:25,23.02,50.59,905.07,7.03,0.683
2025-03-02 00:03:30,20.84,48.34,592.19,6.8,1.531
2025-03-02 00:03:35,22.25,56.61,559.31,6.71,0.632
2025-03-02 00:03:40,20.48,40.57,744.79,7.32,1.816
2025-03-02 00:03:45,23.77,59.72,503.21,7.2,1.177
2025-03-02 00:03:50,21.87,52.17,921.11,7.82,1.647
2025-03-02 00:03:55,24.17,44.76,642.94,6.27,1.337
2025-03-02 00:04:00,20.63,51.25,377.91,7.76,1.505
2025-03-02 00:04:05,24.87,55.13,785.33,6.44,1.251
2025-03-02 00:04:10,22.37,43.52,380.64,6.34,0.624
2025-03-02 00:04:15,24.46,57.64,303.75,7.6,0.542
2025-03-02 00:04:20,22.03,51.77,819.11,6.06,0.929
2025-03-02 00:04:25,24.74,45.79,166.11,6.71,1.457
2025-03-02 00:04:30,20.65,45.22,138.52,6.55,0.737
